word,letters,count,letter_1,letter_2,letter_3,letter_4,letter_5,letter_6,letter_7
豊年満作,"['豊', '年', '満', '作']",4,豊,年,満,作,,,
筆画,"['筆', '画']",2,筆,画,,,,,
自由行動,"['自', '由', '行', '動']",4,自,由,行,動,,,
在来線,"['在', '来', '線']",3,在,来,線,,,,
流行歌,"['流', '行', '歌']",3,流,行,歌,,,,
原生動物,"['原', '生', '動', '物']",4,原,生,動,物,,,
無理難題,"['無', '理', '難', '題']",4,無,理,難,題,,,
生演奏,"['生', '演', '奏']",3,生,演,奏,,,,
平行線,"['平', '行', '線']",3,平,行,線,,,,
自画自賛,"['自', '画', '自', '賛']",4,自,画,自,賛,,,
軽自動車,"['軽', '自', '動', '車']",4,軽,自,動,車,,,
出来心,"['出', '来', '心']",3,出,来,心,,,,
定休日,"['定', '休', '日']",3,定,休,日,,,,
区画整理,"['区', '画', '整', '理']",4,区,画,整,理,,,
代理業,"['代', '理', '業']",3,代,理,業,,,,
記録映画,"['記', '録', '映', '画']",4,記,録,映,画,,,
一筆画,"['一', '筆', '画']",3,一,筆,画,,,,
飛行機,"['飛', '行', '機']",3,飛,行,機,,,,
空中写真,"['空', '中', '写', '真']",4,空,中,写,真,,,
絵巻物,"['絵', '巻', '物']",3,絵,巻,物,,,,
人真似,"['人', '真', '似']",3,人,真,似,,,,
工業地帯,"['工', '業', '地', '帯']",4,工,業,地,帯,,,
観客席,"['観', '客', '席']",3,観,客,席,,,,
後部座席,"['後', '部', '座', '席']",4,後,部,座,席,,,
工作物,"['工', '作', '物']",3,工,作,物,,,,
飛鳥時代,"['飛', '鳥', '時', '代']",4,飛,鳥,時,代,,,
地域開発,"['地', '域', '開', '発']",4,地,域,開,発,,,
高山帯,"['高', '山', '帯']",3,高,山,帯,,,,
一発必中,"['一', '発', '必', '中']",4,一,発,必,中,,,
人形芝居,"['人', '形', '芝', '居']",4,人,形,芝,居,,,
山岳部,"['山', '岳', '部']",3,山,岳,部,,,,
